SET,SETArmPosition,mean.slope,sd.slope,unique.pins,n.readings,first.Date,last.Date,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
1,B,-3.910101176932012e-4,2.2855236203904507e-4,9,174,2004.77868852459,2018.7287671232878,-3.910101176932012e-4,-5.132435922404545,8.934047004181105e-4,8,-5.666910150174404e-4,-2.1532922036896204e-4,One Sample t-test,two.sided
1,D,1.332069168890502e-4,2.7476714810766565e-4,9,178,2004.77868852459,2018.7287671232878,1.332069168890502e-4,1.454397854399107,0.18391755319930952,8,-7.799780969579402e-5,3.4441164347389443e-4,One Sample t-test,two.sided
1,F,7.361747962160981e-4,3.050926861731263e-4,9,180,2004.77868852459,2018.7287671232878,7.361747962160981e-4,7.238863757602686,8.901265732705683e-5,8,5.016597975708392e-4,9.706897948613569e-4,One Sample t-test,two.sided
1,H,-1.8189844878670533e-4,1.6972004504392732e-4,9,179,2004.77868852459,2018.7287671232878,-1.8189844878670533e-4,-3.215267508436484,0.012326431583074364,8,-3.1235682401948325e-4,-5.1440073553927416e-5,One Sample t-test,two.sided
2,A,0.002043379133400649,2.119359367939753e-4,9,177,2004.77868852459,2018.7287671232878,0.002043379133400649,28.92448299677041,2.209087284554964e-9,8,0.0018804707511855573,0.002206287515615741,One Sample t-test,two.sided
2,C,0.0022361141419645677,2.3610351414162916e-4,9,179,2004.77868852459,2018.7287671232878,0.0022361141419645677,28.412717406101944,2.54505565440062e-9,8,0.0020546289153156234,0.0024175993686135116,One Sample t-test,two.sided
2,E,0.002688591444102139,1.475140848459503e-4,9,180,2004.77868852459,2018.7287671232878,0.002688591444102139,54.67799458424289,1.388478890965975e-11,8,0.002575202080883599,0.002801980807320679,One Sample t-test,two.sided
2,G,0.0023889127355639687,2.6763743527184e-4,9,180,2004.77868852459,2018.7287671232878,0.0023889127355639687,26.777786894470246,4.070730071706958e-9,8,0.002183188391406535,0.002594637079721402,One Sample t-test,two.sided
3,A,0.0014601477303720165,2.1964966318747904e-4,9,189,2004.77868852459,2018.7287671232878,0.0014601477303720165,19.94286322841834,4.166546530919678e-8,8,0.0012913100531698402,0.0016289854075741928,One Sample t-test,two.sided
3,C,0.0021604148917169197,1.89405964131447e-4,9,188,2004.77868852459,2018.7287671232878,0.0021604148917169197,34.21879931221596,5.813715026960515e-10,8,0.00201482457954377,0.002306005203890069,One Sample t-test,two.sided
