Date,Month,Day,Year,SampTime,Season,CoverMethod,Site,Treatment,MarshType,Feature,Transect,Plot,NominalPlot,Acri,Bfru,Bhal,Cpal,Dspi,Hspp,Ifru,Jroe,Lcar,Malb,Pame,Sspp,Salt,Slin,Spat,Srob,Ssem,Vlut,macroalgae,mussel,oyster,oyster_live,oyster_culch,rock,wrack,debris,Snails_per_area,snails_m2,liveStem_per_area,deadStem_per_area,stem_Area,liveStem_m2,deadStem_m2,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,HMean,Snails_Area,BM1,BM2,BM3,BM4,BM5,BM6,BM7,BM8,BM9,BM10,BMMean,BMtotal,Acri_category,Acri_bb,Bfru_category,Bfru_bb,Bhal_category,Bhal_bb,Cpal_category,Cpal_bb,Dspi_category,Dspi_bb,Hspp_category,Hspp_bb,Ifru_category,Ifru_bb,Jroe_category,Jroe_bb,Lcar_category,Lcar_bb,Malb_category,Malb_bb,Pame_category,Pame_bb,Sspp_category,Sspp_bb,Salt_category,Salt_bb,Slin_category,Slin_bb,Spat_category,Spat_bb,Srob_category,Srob_bb,Ssem_category,Ssem_bb,Vlut_category,Vlut_bb,macroalgae_category,macroalgae_bb,mussel_category,mussel_bb,oyster_category,oyster_bb,oyster_live_category,oyster_live_bb,oyster_culch_category,oyster_culch_bb,rock_category,rock_bb,wrack_category,wrack_bb,debris_category,debris_bb
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,0,0.25,24,0,57.5,46,65,20.5,62,20,59.5,20.5,42,85.5,47.85,NA,1.7075343749999998,1.0662431999999997,2.33805,0.453584025,2.0626655999999994,0.4458,1.8571764749999997,0.453584025,0.9152975999999999,5.238503775,1.6538439074999998,39.692253779999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,68,27,0.25,272,108,57,49,41,64.5,21.5,59,56,38.5,40,64.5,49.1,NA,1.6720835999999997,1.2013427999999997,0.8822051999999999,2.289882225,0.46911817499999997,1.8185687999999995,1.6034591999999999,0.8066693249999999,0.8507999999999999,2.289882225,1.388401155,377.64511416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,65,32,0.25,260,128,40,17.5,41,18,10,21,23.5,52.5,44,45,31.25,NA,0.8507999999999999,0.4062843749999999,0.8822051999999999,0.41430239999999996,0.2706,0.4613532,0.5003490749999999,1.3860656249999996,0.9868847999999999,1.0255499999999997,0.7184394674999999,186.79426154999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,9,0.25,48,36,28,14,12.5,27,49,40,47,36.5,11,17,28.2,NA,0.5745263999999999,0.3473568,0.32001562499999997,0.5573016,1.2013427999999997,0.8507999999999999,1.1090495999999996,0.752938425,0.29100719999999997,0.3981876,0.6402526049999999,30.732125039999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,15,0,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,1,25,25,0,0,0,0,0,15,0,0,2.6,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,29,0,0.25,116,0,39.5,26.5,66,91.5,61,54,47,50,101,32,56.85,NA,0.8357034749999998,0.548879925,2.4371951999999997,6.490227675,1.9779371999999995,1.4750207999999996,1.1090495999999996,1.2509999999999997,8.920441199999999,0.6500735999999999,2.5695528674999997,298.06813263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-17,8,17,2006,SU2006,Summer,BB,CL,Nat,Fringing,None,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,2.6,0,0,0,0,0,NA,18,71,36,0.25,284,144,77.5,100,15,47.5,65.5,21,64,71,51.5,74,58.7,NA,3.8731593749999997,8.636999999999999,0.3648,1.131271875,2.3871507749999994,0.4613532,2.2426367999999997,2.9918831999999993,1.330113675,3.374932799999999,2.6794301699999994,760.9581682799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
