SampTime,Treatment,Plot,initial.year,Date,n,elev.mean,elev.sd,elev.se,elev.d.mean,elev.d.sd,elev.d.se
SP2010,Nat,-1,2007,2010-04-24,8,-0.41198991749999997,0.10077692139821635,0.03563002225389123,-0.0381707025,0.03147336181932848,0.01112751378459247
SP2010,Nat,0,2007,2010-04-25,9,-0.3408741111111111,0.08783122938227403,0.02927707646075801,-0.02727544222222222,0.05682642557641641,0.01894214185880547
SP2010,Nat,5,2007,2010-04-27,13,0.029168263076923093,0.1445278937821511,0.04008482552048915,-0.015496026923076925,0.04583164629963093,0.012711411597865287
SP2010,Nat,10,2007,2010-04-28,14,0.1250424635714286,0.16903127620474026,0.04517550880052091,-0.004488470000000002,0.04088109462113603,0.010925932119184148
SP2010,Nat,15,2007,2010-04-27,11,0.2543461409090909,0.2640892600098943,0.07962590787412985,0.003804112727272729,0.0496545084779022,0.014971397615520255
SP2010,Nat,20,2007,2010-04-25,5,0.267748994,0.1993387414569389,0.08914699528939415,-0.018769380000000006,0.02843894079291367,0.012718280964209348
SP2010,Sill,-1,2007,2010-04-29,10,-0.107193665,0.15057241606247615,0.04761517875519467,-0.033350281,0.04172968151423648,0.013196083961841139
SP2010,Sill,0,2007,2010-04-27,13,-0.16784703384615385,0.13723127581901387,0.03806110781252277,-0.012948026153846152,0.01991855819912322,0.0055244140707886484
SP2010,Sill,5,2007,2010-04-27,14,0.08453260785714285,0.1883307711783213,0.050333515795442776,-0.010235578571428573,0.027082753643579965,0.007238170373191418
SP2010,Sill,10,2007,2010-04-27,12,0.29980747,0.24370138413165093,0.07035052986514653,-0.028614531666666665,0.03195328207860226,0.00922411800478653
SP2010,Sill,15,2007,2010-04-28,9,0.5222990755555555,0.27466113689348237,0.09155371229782745,0.020600254444444435,0.03712089520351749,0.012373631734505829
SP2010,Sill,20,2007,2010-04-25,4,0.8119764325000001,0.34905410235343276,0.17452705117671638,0.03590786250000003,0.018238270958411174,0.009119135479205587
SU2008,Nat,-1,2007,2008-06-20,5,-0.470280424,0.07016163771079485,0.03137723826681,-0.042286873999999995,0.024088105373787277,0.010772528212993265
SU2008,Nat,0,2007,2008-06-21,6,-0.3768834,0.0735966956029549,0.030045725163695643,-0.029612566666666663,0.0404865496489299,0.016528564680955947
SU2008,Nat,5,2007,2008-06-23,9,0.03667802555555558,0.17733220582802092,0.05911073527600697,-0.04109129888888889,0.05529048604720785,0.01843016201573595
SU2008,Nat,10,2007,2008-06-23,9,0.08488630555555558,0.15508043728976845,0.05169347909658948,-0.01461804666666667,0.024685883296041378,0.008228627765347126
SU2008,Nat,15,2007,2008-06-22,7,0.10452295285714287,0.09223212241420443,0.03486046554280731,-0.019226995714285718,0.02736652055712774,0.01034357252047097
SU2008,Nat,20,2007,2008-06-19,3,0.14119595666666668,0.04244765029156542,0.024507162322302396,-0.04339943333333333,0.03215286560890078,0.018563465614516727
SU2008,Sill,-1,2007,2008-06-22,10,-0.083530895,0.1598247503626593,0.05054102376138256,-0.009687511000000001,0.027207979499234515,0.008603918574874855
SU2008,Sill,0,2007,2008-06-20,13,-0.14682405153846154,0.10780895719649418,0.029900824855866325,0.008074956153846157,0.02841081655507826,0.00787974275901045
SU2008,Sill,5,2007,2008-06-20,14,0.09512208357142858,0.18237065488190657,0.04874060771212049,3.538971428571454e-4,0.020774423532234725,0.0055521982332397465
SU2008,Sill,10,2007,2008-06-20,12,0.32051344,0.2695110926267017,0.0778011509388082,-0.00790856166666666,0.030355966839456735,0.008763012813135851
SU2008,Sill,15,2007,2008-06-21,9,0.5381653866666667,0.3084996239859209,0.10283320799530697,0.03646656555555555,0.06075927217180026,0.020253090723933418
SU2008,Sill,20,2007,2008-06-18,4,0.7993022425,0.36450719381394275,0.18225359690697138,0.02323367249999999,0.014266437729308096,0.007133218864654048
SU2018,Nat,-1,2007,2018-07-19,2,-0.39955,0.07728677118368961,0.05464999999999997,0.03060172499999997,0.05886817395549523,0.04162608499999998
