Month,Day,Year,Date,SampTime,Site,Treatment,MarshType,Feature,Transect,Plot,NominalPlot,CoverMethod,Acri,Bfru,Bhal,Cpal,Dspi,Hspp,Ifru,Jroe,Lcar,Malb,Pame,Sspp,Salt,Slin,Spat,Srob,Ssem,Vlut,macroalgae,mussel,other,upland,oyster,oyster_live,oyster_culch,rock,wrack,debris,Snails_per_area,Snails_Area,snails_m2,liveStem_per_area,deadStem_per_area,stem_Area,liveStem_m2,deadStem_m2,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,HMean,Notes,Reader,Entered,Proofed,Flag,Flag resolved?,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,-1,-1,CVS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,0,0,CVS,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,5,5,CVS,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,10,10,CVS,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,15,15,CVS,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,20,20,CVS,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,.,0,1,0,4,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,30,30,CVS,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,40,40,CVS,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,4,50,50,CVS,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"In 2008, stem count not connected except in some PKS plots","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
8,28,2008,8/28/2008,SU2008,MM,Nat,Non-Fringing,None,5,-1,-1,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,7,0,0,0,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6/1/2020 QW Changed liveStem_m2 from ""."" to 0 as Salt is 0","JF, JW",JW 12/5/2008,JW 12/5/2008,,,
